zone,temperature,vegetation,building_density,population,vulnerability,cooling_access,water_access,hospital_capacity,heat_risk_score,risk_class
Z0001,41.39,6.88,47.88,19628,31.16,19.22,76.66,63.63,57.24,2
Z0002,40.9,7.38,36.09,20247,60.43,12.39,27.9,71.99,63.46,2
Z0003,40.45,21.53,68.3,5425,80.7,24.37,48.04,42.23,66.12,2
Z0004,37.15,62.26,36.64,29898,27.74,86.27,64.34,84.57,27.49,0
Z0005,42.3,45.22,93.25,29807,26.3,36.39,66.58,90.84,58.2,2
Z0006,38.62,19.42,34.52,48336,38.23,36.04,17.18,38.62,51.59,1
Z0007,36.01,25.85,71.32,28909,33.01,41.97,70.32,76.15,39.77,1
Z0008,41.84,10.36,71.27,40005,78.33,24.71,44.15,99.16,69.55,2
Z0009,41.4,46.77,74.5,8665,38.32,12.89,38.39,41.42,61.91,2
Z0010,37.11,75.72,86.96,25622,37.01,54.93,89.62,71.43,35.54,1
Z0011,36.43,15.47,78.42,40322,41.02,62.61,90.8,51.95,41.94,1
Z0012,37.19,79.82,63.12,10957,80.46,87.5,23.76,32.8,43.38,1
Z0013,41.8,49.73,55.01,44052,99.69,57.62,97.4,88.86,56.21,2
Z0014,35.11,59.05,74.31,40190,80.07,79.17,40.62,43.48,40.49,1
Z0015,36.58,5.24,76.94,22261,97.75,78.58,55.69,28.51,55.31,2
Z0016,41.25,68.13,63.0,18035,32.23,78.63,58.54,82.29,44.99,1
Z0017,40.3,5.04,51.07,6276,28.95,42.67,98.68,84.54,48.8,1
Z0018,37.39,23.07,66.88,10161,26.85,53.74,16.23,80.85,46.74,1
Z0019,42.66,14.63,60.89,41031,33.21,57.49,64.59,97.15,57.83,2
Z0020,44.29,61.64,74.84,25428,51.92,70.45,43.61,91.97,61.63,2
Z0021,39.51,23.59,34.16,6378,67.06,30.71,29.82,25.68,57.85,2
Z0022,41.31,22.17,88.85,26654,25.67,31.42,70.21,37.14,60.77,2
Z0023,36.32,75.16,67.12,35976,39.44,52.57,46.64,27.55,37.38,1
Z0024,41.59,31.57,56.72,8550,73.87,98.57,18.86,52.21,60.27,2
Z0025,38.39,69.63,46.16,17465,62.9,22.62,26.51,57.01,48.33,1
Z0026,43.74,10.65,82.52,41066,27.83,68.69,58.65,21.18,67.4,2
Z0027,35.93,61.52,45.36,31634,58.85,29.24,46.09,24.69,40.44,1
Z0028,38.79,78.9,47.24,34819,42.82,72.69,75.75,82.67,34.07,0
Z0029,41.62,41.5,42.34,19267,97.5,62.13,58.8,79.84,58.52,2
Z0030,35.57,48.81,62.69,39807,32.59,96.47,17.21,34.87,35.57,1
Z0031,40.95,55.64,45.29,12856,95.33,61.27,62.1,23.18,57.1,2
Z0032,35.82,54.3,66.74,25733,94.78,28.38,74.46,39.09,46.3,1
Z0033,38.96,55.38,49.5,25720,94.32,94.22,10.84,69.69,51.15,1
Z0034,40.63,12.5,64.95,38153,41.22,93.99,89.28,90.34,48.1,1
Z0035,38.7,16.83,84.19,24825,68.93,98.85,68.86,20.63,53.73,1
Z0036,43.17,27.45,73.12,13800,41.16,90.07,76.82,32.44,59.23,2
Z0037,37.82,20.8,52.29,46565,88.23,55.49,32.6,92.65,52.97,1
Z0038,35.51,52.57,83.91,7889,20.28,79.4,67.34,40.96,32.55,0
Z0039,42.41,46.38,57.8,5633,28.95,95.05,72.19,31.92,49.97,1
